	relationship	smoker	alp	weight	trombocyty	hematokrit	hemoglobin	er-cv	ast	ssn	erytrocyty	indicator	hbver	leukocyty	alt	etytr	name
16	nop	no	21.41962	89.18042	5.06879	6.87118	2.62102	43.48171	69.71947	554-16-0774	8.74780	1.00000	5.71214	6.44719	21.96993	8.00824	Dr. Kenneth Evans
17	single	no	89.93670	18.33321	6.61529	5.48713	6.44394	64.41313	28.23440	384-06-4472	6.48898	0.00000	5.56521	4.95062	8.81489	6.37215	Mr. David Ray
18	widowed	Y	83.69257	38.64513	6.06401	5.70481	6.69727	48.17156	61.74092	440-70-6960	4.93364	1.00000	6.99280	5.79425	6.26821	6.66500	Gloria Fleming
19	divoced	yes	50.91423	42.68966	7.48825	4.85604	7.76695	47.21181	52.68507	432-38-8935	5.47598	0.00000	7.81012	7.20809	5.90351	5.54637	Lauren Brooks
20	divoced	no	26.93729	26.33150	8.08369	3.00422	10.25417	62.80062	49.38982	567-93-6309	8.08687	1.00000	7.20611	6.80594	13.85478	7.73632	Billy Spencer
21	widowed	no	44.66860	70.70556	8.20659	8.31292	4.66853	64.17940	41.13308	096-85-6165	7.19455	1.00000	7.22613	6.38234	9.17010	6.58706	Mrs. Mariah Hammond DDS
22	single	no	77.47920	110.35319	7.48464	5.70326	6.85747	28.65415	67.83381	633-26-8154	4.32898	1.00000	6.74683	5.49865	6.04219	4.75325	Kelsey Gibson
23	divoced	Y	48.31750	91.02662	8.00897	7.62653	4.80618	49.20141	22.68373	096-40-3395	7.15299	1.00000	7.02904	5.34098	11.29104	3.63588	Julia Nunez
24	married	yes	81.87870	9.71920	5.91518	5.54673	6.35672	44.71166	42.73438	221-25-9334	3.98544	0.00000	7.12190	3.47324	6.80856	7.08397	Adriana Walker
25	widowed	Y	86.39308	17.85805	6.56649	2.53830	5.96796	34.23836	29.88796	186-62-1818	7.28187	0.00000	7.73858	7.16710	7.19381	6.80572	Richard Dennis
26	divoced	Y	68.32706	73.96473	8.19764	5.08615	7.22419	43.08340	33.00411	247-37-3927	4.12260	1.00000	6.48199	6.55473	2.11355	8.04900	Frances Hudson
27	single	no	90.59529	51.15608	7.02355	4.33972	6.18455	46.71357	48.33033	809-34-9854	4.89813	1.00000	7.30426	6.05604	5.98069	6.71753	Dennis Henderson
28	divoced	no	74.15370	54.22093	6.57907	6.71720	5.19207	69.59624	64.52250	173-37-9107	7.35236	1.00000	6.72750	6.49868	11.08982	4.83518	John Johnson
29	nop	no	24.04778	28.78136	6.71400	4.90312	4.17784	34.35961	49.99742	864-98-2810	5.92211	0.00000	6.82127	7.89782	4.35683	5.24212	Brittney Miranda
30	divoced	no	59.91226	31.66860	6.13383	4.03900	5.09573	53.95110	63.25872	083-45-5787	3.08426	0.00000	5.01592	6.50593	6.59049	5.17163	Ronald Jones
31	married	no	35.76418	80.09000	8.60087	4.67406	8.28246	53.44852	64.14789	856-39-5865	7.24805	0.00000	4.39736	6.49867	8.43722	5.14195	Rachel Foster
32	single	no	12.22685	22.07463	8.11850	3.76716	8.93515	47.74252	38.36335	117-15-3654	6.35195	1.00000	4.48796	5.48968	3.91579	5.86605	Katie Hall
33	separated	no	20.19379	94.84295	8.90705	3.98468	8.72482	51.07854	45.83709	399-16-8867	8.90754	0.00000	4.85720	5.03040	26.60954	5.90446	Robin Schaefer
34	divoced	yes	77.91797	50.40798	5.56779	6.22756	5.63432	57.07548	57.10087	395-27-1265	4.01678	0.00000	5.09855	6.75112	5.88022	5.48872	Richard Thomas
35	single	no	90.25424	94.36676	8.63810	3.46203	5.79524	39.55561	48.96325	185-62-9872	5.57626	0.00000	5.17123	6.11121	7.06039	4.63641	Krista Davidson
36	single	no	39.38923	106.12315	8.28866	4.96557	7.93137	30.60527	68.07052	277-85-4234	6.80731	0.00000	7.67377	7.21696	8.97074	5.78556	Joseph Fuller
37	married	no	21.37824	40.37454	7.37620	2.70383	8.49230	53.04353	37.45254	372-55-7313	6.51203	1.00000	7.66162	5.88368	8.08983	6.93189	Jeffrey Thomas
38	nop	yes	48.50885	95.83523	7.19197	6.53476	7.63665	61.52108	53.28378	405-05-7324	5.20263	1.00000	6.23899	7.58418	5.73082	5.56902	Derrick Wyatt
39	single	yes	69.48123	73.71360	6.84260	7.35851	7.22458	55.31319	52.85165	898-21-2478	5.06803	1.00000	4.15858	4.77289	7.70144	8.93952	James Palmer
40	married	yes	82.68730	90.45924	5.43643	2.21110	5.72191	37.96139	48.02037	161-03-4106	4.27699	1.00000	5.26878	6.45359	5.45921	5.41772	Christopher Martinez
41	married	Y	72.21877	96.78079	7.78071	2.60644	5.46615	55.78600	65.60871	068-11-7288	1.89722	1.00000	5.00670	4.99994	4.40872	6.76922	Amy Pham
42	married	Y	10.80104	67.78256	6.96171	8.61045	3.26297	35.59362	48.24579	167-15-3962	8.19348	1.00000	5.47625	6.75856	15.75044	5.01513	Alicia Rose
43	married	yes	52.09294	128.41805	7.26584	3.23073	7.70366	46.69878	22.57454	496-90-8851	5.69168	1.00000	4.18079	5.49191	6.50717	6.88802	John Wood
44	single	yes	18.72162	91.09730	8.38927	6.26992	3.68463	56.83371	62.45846	541-45-8313	3.84905	0.00000	5.59034	8.65553	3.26336	5.04386	Adam Moreno
45	divoced	no	85.04248	144.75049	4.86120	4.47895	6.52891	77.61170	37.03485	428-75-1848	5.93123	0.00000	5.35619	7.06663	7.99500	5.63896	Brandon Garcia
46	divoced	Y	54.67883	103.36370	7.86199	2.83710	7.63897	42.12363	61.69494	369-88-7337	4.72516	1.00000	6.56311	5.23031	4.70895	6.57332	Anna Smith
47	married	yes	73.18677	179.20423	5.22124	5.52757	5.69775	57.14713	36.19489	581-05-7702	4.68409	0.00000	4.42025	7.00679	3.51444	5.65561	David Collier
48	divoced	yes	69.99043	110.96867	5.11404	6.44608	5.30558	54.38510	30.67960	416-80-8025	7.84214	1.00000	5.22023	7.10917	10.06421	5.16444	Matthew Owen
49	single	no	67.65021	48.91451	6.73678	4.86992	7.27337	29.23309	19.50245	862-43-2551	8.22143	0.00000	7.54292	6.42316	18.65574	7.01931	Michael Blackwell
50	married	no	32.82148	127.72355	6.17971	4.34266	8.12229	53.36638	37.64790	061-84-9017	4.01034	0.00000	5.83853	6.15721	5.03955	7.20020	Jaime Craig
51	married	no	19.90791	69.79692	7.51819	4.31767	2.41831	75.61009	36.76332	362-74-3068	6.92556	0.00000	6.26038	7.53769	8.67782	6.21580	Katherine Hart
52	married	no	16.21935	101.90980	7.10155	7.08758	3.20179	59.06700	39.34933	593-57-3207	7.91708	1.00000	4.64900	7.24358	11.72046	6.78646	Allison Jones
53	nop	Y	12.55141	107.12839	8.84983	6.84902	2.96388	74.24438	56.13926	022-24-3792	3.46182	0.00000	5.71255	4.45517	5.79375	5.33904	Jessica Smith
54	nop	yes	84.30758	61.27116	8.46357	8.02061	5.69919	33.87858	58.10276	386-46-1400	6.78985	1.00000	6.78657	6.29044	7.87917	3.95489	Andrea Perry
55	married	N	91.15453	52.90851	8.60691	3.04928	6.66425	66.04268	38.84541	163-99-7472	5.34354	0.00000	6.50238	7.78974	8.54948	5.80693	Charlene Martinez
56	single	no	13.92850	105.55995	6.75656	7.43953	3.53089	30.04961	58.04830	439-07-4839	7.99975	1.00000	6.83524	6.44382	11.49401	6.75972	Randy Robles
57	married	no	73.13789	55.47285	6.97798	6.82814	5.25010	33.56573	49.11700	815-67-6002	7.34719	1.00000	6.25602	6.13617	11.66432	5.12883	Aaron Schroeder
58	single	yes	16.38546	87.79405	8.66300	4.69789	3.42923	30.35305	75.48883	172-42-0389	5.65535	0.00000	7.80088	7.48880	2.38311	6.42235	James Robinson
59	divoced	no	61.82616	46.37540	7.11091	7.63493	4.94321	42.14107	49.07240	261-81-9951	7.37222	1.00000	6.14656	6.80877	8.57818	7.26852	Charles Avila
60	divoced	no	12.69629	97.73582	7.34069	7.81015	3.44455	59.18292	45.82678	342-02-4513	7.85344	1.00000	5.35318	7.17252	14.47235	6.31643	Andrew Baird
61	divoced	no	63.28447	59.03430	7.15540	7.41549	5.06592	78.65964	50.03120	773-32-7534	7.43762	1.00000	6.97662	4.08363	8.53521	6.48452	Amy Morris
62	married	Y	72.12885	60.47434	5.70931	5.30569	5.31860	32.74341	44.12321	874-09-4938	4.68070	0.00000	5.79339	5.33809	5.96316	6.49762	Christopher Ray
63	single	yes	68.79595	36.52770	7.47155	2.96217	7.15195	59.47692	58.11809	104-73-4056	5.39879	0.00000	6.55807	5.38446	4.73075	7.99783	Elizabeth Kelley
64	married	no	16.08923	124.04786	7.83607	6.27450	3.75479	69.36633	32.03906	325-31-1697	4.15713	0.00000	4.57699	6.11185	2.29584	5.29050	Catherine Summers
65	single	yes	6.00484	15.75470	7.85045	4.66954	9.76346	52.44712	41.22605	134-05-0921	7.55355	0.00000	6.32633	4.76592	9.66021	5.68078	Megan Berg
66	single	no	46.59302	79.73524	9.50621	4.14875	4.64399	70.39022	44.98943	818-93-5123	5.00388	0.00000	5.03242	4.95140	4.48289	5.65902	Susan Ortega
67	nop	yes	32.08088	77.31812	7.17298	6.56348	4.35389	26.69827	60.39246	139-64-5429	3.56918	0.00000	3.77530	5.53827	7.38585	7.31150	Nicole Erickson
68	nop	Y	55.08322	37.34978	7.61635	3.46246	4.75732	48.56319	41.84866	178-32-6461	6.25946	0.00000	4.33392	4.81326	7.20655	6.15775	David Leonard
69	single	no	78.48910	40.22116	8.26546	7.16598	5.52747	46.45639	24.35666	173-04-4460	6.75399	1.00000	7.40388	7.47156	5.99445	4.33647	Julie Andersen
70	married	no	74.74343	67.37451	7.91494	5.11874	7.08774	17.61305	22.78586	519-62-3229	3.24444	0.00000	5.26488	6.50573	2.61775	6.08438	Jonathon Smith
71	widowed	no	80.14338	74.41498	8.43984	7.57727	6.78685	40.30236	52.30140	720-04-1254	6.36319	1.00000	6.96382	5.51534	7.14836	5.91652	Sharon Clay
72	single	no	78.66009	105.92347	7.29854	3.31727	5.68776	45.82210	41.39321	364-99-1827	6.26937	0.00000	6.14906	5.73081	6.89833	5.31131	Travis Garcia
73	separated	no	69.56920	51.76073	8.35141	8.08693	5.45535	86.13617	56.50277	437-21-6214	6.76281	1.00000	6.09444	6.36379	7.67783	6.72586	Christine Brown
74	married	yes	55.55816	10.06885	6.68942	6.87090	4.90441	63.40059	56.54601	215-57-3837	7.58551	1.00000	6.39033	5.09447	12.77680	6.03375	Christie Moore
75	single	no	29.42172	47.35544	5.99476	5.68516	4.17364	60.11998	40.66675	248-36-0266	5.22334	0.00000	5.91645	8.20001	2.57704	6.49436	Matthew Edwards
76	married	no	85.32567	91.45137	4.84680	7.17050	5.91049	21.58962	69.68918	408-42-9730	2.97322	0.00000	6.72942	6.13671	3.84708	4.76963	Christopher Serrano
77	single	no	64.18740	4.76632	7.18702	8.34957	5.25632	54.86463	48.79705	386-84-1275	7.54096	1.00000	5.17003	5.95411	11.70593	5.28337	Andrew Hernandez
78	divoced	no	27.92611	73.52543	7.17545	4.12534	8.49323	49.20116	32.69568	127-92-2473	6.41040	1.00000	5.17022	6.12757	7.72292	4.90157	Michele Johnson
79	married	yes	6.90344	68.47011	7.32379	1.34919	9.54697	69.22537	51.17125	643-70-5543	8.02401	1.00000	7.44298	5.49040	12.63509	5.48301	Amber Hicks
80	single	no	35.49060	21.06143	9.13667	6.22498	4.50013	41.01957	44.59015	667-37-9495	3.18254	0.00000	5.51696	5.80251	4.33432	7.32547	Brooke Brown
81	divoced	no	13.33964	89.14719	5.27558	7.11099	3.64399	30.09497	32.38017	861-78-0702	4.29320	0.00000	6.28171	7.71123	2.09700	6.87707	Rebecca Sheppard
82	nop	no	64.78627	53.96128	7.05780	5.23406	7.30448	62.79459	19.28003	041-43-3109	7.98640	0.00000	7.23314	5.76979	13.75301	4.79842	Nicole Silva
83	married	yes	32.85949	46.14821	8.42298	4.56337	8.13787	52.45101	36.66108	637-44-9841	7.20610	0.00000	7.20080	6.89652	9.19449	6.67980	Anne Sanders
84	divoced	no	41.32947	24.33805	7.16485	4.75992	8.03684	64.34624	37.54859	808-05-4883	6.21396	1.00000	7.47954	6.48458	5.36819	4.70414	Diane Cohen
85	divoced	yes	71.69122	53.78028	6.59190	5.63538	7.14191	58.08561	34.16841	454-29-3108	5.47297	1.00000	5.99073	6.76492	5.46257	6.49615	Angela Nelson
86	married	no	76.55139	70.45706	6.09884	5.34136	5.39384	66.56254	41.08337	695-02-5901	3.24018	1.00000	3.91569	6.93591	4.71127	6.79752	Sara Sims
87	married	no	75.33091	17.33803	7.18837	6.11779	5.54961	23.74687	16.98651	473-87-8660	7.03216	1.00000	6.12640	7.01754	6.81237	6.79792	Richard Stone
88	separated	no	55.57810	66.43450	7.33458	5.19542	7.49623	55.21952	48.45305	294-02-5591	7.73258	0.00000	5.87749	6.87946	11.71413	5.42578	Ashley Chambers
89	single	yes	76.48873	59.79482	8.26428	6.72050	5.51114	59.45500	42.00824	436-42-7230	7.00519	1.00000	6.06839	6.48846	8.14457	6.03143	James Reed
90	nop	no	21.58367	95.77787	4.02923	3.95916	4.02729	66.64239	46.64380	321-38-8561	4.88813	0.00000	5.76397	4.59941	4.62645	7.00112	Jacob Kennedy
91	divoced	yes	17.52251	22.92489	7.51647	4.75341	8.92713	63.42992	61.86525	354-22-8218	7.02500	1.00000	6.65784	5.94705	8.42859	6.48471	Amanda Ramirez
92	single	yes	80.41340	64.43163	6.07104	6.39023	5.57455	60.94514	55.87793	876-98-9545	7.36240	1.00000	7.87514	5.73648	9.62067	5.91067	Kendra Farmer
93	married	Y	28.37481	125.52865	8.39211	3.95618	4.28747	54.31753	34.58648	685-95-7149	6.34921	0.00000	6.29491	4.72111	7.29423	5.99701	Richard Baldwin
94	single	no	84.93227	119.23088	6.17058	4.27208	6.21190	60.50752	49.38192	660-28-0260	6.38447	0.00000	6.62712	6.47258	6.38903	6.01019	Terry Vazquez
95	nop	no	87.84329	109.36066	5.95900	3.45423	6.49706	45.33144	52.47865	774-22-0392	6.16978	0.00000	5.86339	6.43624	6.99391	5.46991	Cassandra Wagner
96	divoced	yes	39.49866	51.11356	6.15873	4.60001	7.91258	39.58941	46.97167	311-03-1979	6.59081	1.00000	6.20425	7.21015	7.91633	6.21792	Richard Cook
97	single	Y	81.13298	31.86262	6.05106	5.70359	5.63191	62.82071	37.68590	098-26-7637	7.42322	1.00000	5.73312	6.98233	11.12146	5.73721	Chelsea Anthony
98	married	no	30.12194	83.15689	7.88821	3.96164	8.30902	58.48481	66.76132	461-91-0353	5.76063	1.00000	4.01617	5.98927	5.05218	3.90055	Gregory Malone
99	single	no	19.82551	97.55485	7.55517	7.29957	3.56105	48.27374	13.32416	718-24-7475	7.68120	1.00000	6.19772	4.53529	11.19402	4.81628	Kevin Cook
100	single	yes	67.99906	56.25213	6.98560	5.03443	7.39856	38.64607	61.05721	042-73-8662	5.12081	1.00000	5.87623	4.03976	4.90119	6.93809	Patricia Spears
101	divoced	Y	74.97978	88.67041	6.49677	4.80676	7.13325	42.28461	26.06508	798-84-0842	8.79151	0.00000	6.25406	7.34819	24.81960	4.62534	Patricia Faulkner
102	married	yes	8.78520	79.40081	9.88570	4.68819	9.25223	57.50756	35.16727	271-96-2839	5.85081	1.00000	6.65509	6.15885	7.55674	6.29900	Daniel Perez
103	single	yes	89.55972	46.35154	7.30095	6.17852	6.87247	54.43928	20.37097	488-69-9219	4.18058	1.00000	6.02054	8.02118	6.95966	6.50517	Jessica Solomon
104	married	no	91.44433	81.54293	4.40567	5.28868	6.35716	63.58322	47.18817	192-04-0471	4.89908	0.00000	7.11926	4.56202	3.80188	6.14928	James Bradford
105	divoced	N	75.55386	103.10619	7.86233	7.44710	5.23329	52.52701	44.18620	294-02-5591	7.07840	1.00000	6.50457	5.24414	8.85215	7.36757	Ashley Chambers
106	separated	yes	44.33501	62.11824	7.07983	2.53658	7.90053	46.17733	45.21336	395-59-3197	6.02010	1.00000	4.23794	6.40315	4.64162	5.89920	Denise Butler
107	divoced	no	49.07804	46.54800	8.11260	6.66239	7.95938	52.84831	54.72329	243-79-1807	6.62790	0.00000	6.66615	7.60201	7.78904	6.86503	Ashley Morales
108	single	Y	27.49915	74.44000	7.77290	4.08841	8.35886	58.53831	52.67031	895-36-5164	5.82316	1.00000	5.96420	5.42586	3.16253	6.29722	Amy Graham
109	married	no	80.18191	13.84560	4.48067	5.47848	5.82568	52.93034	32.09998	568-36-4489	5.10120	0.00000	5.95215	4.92676	7.52126	5.85995	David Middleton
110	married	Y	83.90325	68.84422	4.72597	7.46354	6.01144	53.66844	39.43995	508-49-9338	2.58878	0.00000	6.30891	6.26210	6.77852	5.10885	David Kelly
111	married	no	55.54669	128.18883	7.78290	4.62561	4.84611	55.91411	52.53619	818-32-2504	5.07956	0.00000	5.77663	5.66454	4.40804	4.04660	Emily Brock
112	divoced	N	83.59576	67.83011	7.46591	1.37146	6.39406	44.61391	59.34661	194-91-0580	3.50572	1.00000	7.67727	5.21184	2.36391	5.69500	Samuel Hall
113	widowed	no	24.56247	116.24807	6.92076	5.66150	4.09066	65.97570	37.61341	559-72-9874	4.92535	0.00000	6.89003	6.65181	5.79947	5.20897	Julie Lawson
114	divoced	no	28.50391	97.39090	7.80301	6.92094	8.32745	58.99109	33.67724	657-35-0790	5.81687	1.00000	5.47437	5.24012	5.61800	7.70961	Amy Olson
115	separated	no	86.44100	26.47577	7.25707	5.72085	6.36684	59.16426	30.16510	499-53-2110	3.00306	0.00000	6.57796	8.64353	2.91398	5.39612	Christopher Kelley
116	single	yes	86.12525	74.37113	6.71397	5.04890	6.29299	47.65578	47.01715	530-91-7684	4.00997	1.00000	6.01816	5.77013	2.84620	5.67099	Brandon Jones
117	married	yes	82.66681	84.29971	6.89309	6.57684	6.66089	45.23701	51.32541	572-51-1355	6.95494	0.00000	5.72914	5.63666	10.75100	4.59859	Maria Daniels
118	nop	Y	73.27331	93.80090	6.75889	4.42182	5.43536	62.05062	43.12011	548-25-6001	5.72834	0.00000	6.73079	6.22518	6.98341	4.86565	Juan Pollard
119	single	yes	72.82074	48.08581	5.34360	5.93857	5.38394	55.26958	64.91090	470-64-4139	7.68942	1.00000	5.03657	4.95397	12.80219	6.26050	Peter Caldwell
120	single	no	64.94564	64.21416	7.79685	3.69340	7.25396	28.48723	56.68681	827-16-2043	4.42862	1.00000	5.91422	5.70636	3.87318	4.80017	Kimberly Marshall
121	divoced	N	83.33680	100.29317	6.63988	6.43247	6.83523	84.26876	41.14112	205-80-0838	7.16453	0.00000	7.71911	3.96474	9.20274	6.78372	Stephen Rogers
122	nop	yes	42.41068	94.54724	8.09071	7.11823	7.94104	46.57972	44.98046	130-79-6596	4.98902	1.00000	6.57124	5.21119	4.24375	7.58208	Paul Lee Jr.
123	married	no	52.42806	109.33670	7.91339	5.48536	7.69269	43.77028	17.65217	175-22-9910	7.30226	0.00000	4.30662	5.49583	10.21282	6.73886	Mark Kirby
124	divoced	Y	69.27681	61.17471	6.80198	5.03352	6.99512	46.16571	34.69882	326-04-3138	7.76990	0.00000	6.35861	8.76639	10.50443	6.46075	Jerry Alvarez
125	widowed	no	45.03813	66.36379	7.15013	6.38996	4.68364	66.42029	46.95895	664-23-6403	7.41828	1.00000	4.99073	6.04961	10.91283	6.21989	Steve Mclaughlin
126	divoced	yes	76.44311	153.00773	6.66651	6.44603	5.82335	54.57558	52.38662	508-54-9971	7.00495	1.00000	5.17719	7.01633	5.96143	7.94778	Jade Hubbard
127	divoced	no	30.20901	68.49260	7.34449	5.72143	4.13124	78.71592	60.09906	721-60-4787	4.47811	0.00000	6.48232	6.29498		6.70692	Amanda Patterson
128	widowed	yes	86.12027	45.86660	6.42331	6.47733	6.00633	46.10463	60.74077	339-03-5124	7.21854	1.00000	5.82336	5.95431	6.85591	5.79329	Isaac Burnett
129	widowed	no	10.07811	60.52419	7.75918	8.03313	3.75666	73.86868	27.96560	411-08-1405	7.64046	1.00000	5.93310	4.52644	9.13574	6.44074	Hannah Medina
130	separated	N	82.95220	74.31041	6.02927	4.66316	6.53448	54.91202	48.14064	190-19-5085	4.98372	1.00000	6.83577	8.18837	3.68293	7.80106	Thomas Hunter
131	married	no	60.21592	103.84645	7.08268	3.52898	7.79843	52.95663	44.72502	851-90-9158	5.77042	1.00000	5.97480	6.49411	7.51270	4.86771	Alicia Espinoza
132	widowed	no	69.68732	95.89873	7.46657	5.20757	7.17538	48.28506	37.07985	874-42-4643	4.66926	1.00000	5.80521	5.23547	3.68833	6.32109	Christine Hurst
133	divoced	no	37.56543	73.61899	7.80932	7.86958	4.31970	65.32280	48.27571	511-14-0228	7.21354	1.00000	6.69571	7.68211	8.53993	4.13615	Melanie Flores
134	single	Y	46.02319	17.91223	8.09582	5.78031	4.68243	74.11785	29.07907	847-86-7805	3.68028	0.00000	4.65215	6.67562	4.99766	4.89078	Anthony White
135	divoced	no	75.72664	34.67423	6.63097	4.81406	7.07226	46.43574	44.65940	533-30-2240	8.97634	0.00000	6.56684	5.69455	25.51172	6.21054	Sandra Fox MD
136	nop	no	19.89215	66.82690	7.00119	5.47640	4.08243	35.62061	40.96725	589-65-7900	4.58450	0.00000	6.01546	4.62122	3.09243	4.88911	Natalie Martinez
137	widowed	Y	86.03146	85.03084	8.08308	5.19387	6.21283	85.03874	33.05902	859-91-5859	2.94514	1.00000	5.91236	5.51702	2.54734	5.01061	Stephen Richards
138	divoced	no	63.16224	106.40702	7.37582	3.40924	7.41448	65.33768	49.21188	383-59-4177	4.70456	0.00000	6.73332	6.28307	7.16859	6.92851	Richard Shepherd
139	divoced	yes	38.57591	32.55739	7.91857	4.50528	8.23420	59.56890	43.83368	728-10-5558	8.98084	0.00000	4.23526	4.56801	27.51076	7.89713	Michael Howe
140	divoced	no	11.80626	122.44534	7.50346	8.40453	2.48047	62.61318	32.63251	197-48-9293	8.22222	1.00000	6.20610	8.02024	17.11736	6.52553	Zachary Small
141	separated	no	33.25042	95.39095	7.46513	4.48025	4.20208	25.72393	58.73499	689-98-4698	5.72325	0.00000	5.42654	4.63224	6.45066	4.63173	Lauren Pitts
142	married	Y	46.31241	144.56379	8.34537	4.71339	8.06993	72.04000	61.14659	204-25-3040	6.41896	0.00000	7.41342	6.37301	5.88946	6.10144	Wendy Benitez
143	single	no	74.85989	53.96718	6.33011	7.04977	5.36690	57.78003	69.93573	721-60-4787	3.14118	1.00000	5.73487	6.51792	5.91804	7.85106	Amanda Patterson
144	married	no	26.54098	50.03076	6.95267	7.06455	3.96459	42.04744	33.61696	209-73-9407	7.80808	1.00000	4.29995	5.67025	13.89951	6.10907	Sandra Brown
145	divoced	no	85.61861	86.93966	7.17739	5.03561	6.57715	44.52076	16.27590	744-65-8551	3.66401	0.00000	4.92550	6.08596	5.37875	5.78705	Barbara Mitchell
146	single	no	80.38896	16.93262	8.22436	6.59331	6.79358	60.00450	56.77101	546-84-7803	6.39643	1.00000	3.72999	6.90986	7.11552	6.01207	George Good
147	married	no	50.87225	132.37237	6.48138	6.03338	4.69760	51.80636	31.17174	126-64-5098	7.41553	1.00000	5.77636	5.43539	9.34460	4.03585	George Mccormick
148	married	no	15.38152	49.76003	8.24993	4.78944	10.01960	53.21146	43.05901	166-94-4234	7.65581	1.00000	6.87837	4.91911	10.16638	5.55880	Chris Powell
149	married	no	81.19052	71.26984	6.73233	5.23415	6.25264	46.20416	28.20310	056-65-2058	5.84314	0.00000	7.45655	5.38830	6.95000	4.04507	Anthony Brady
150	single	no	25.47240	72.76736	7.32105	7.87613	4.07767	57.75489	59.24545	896-07-7917	7.59757	1.00000	5.60762	7.16653	10.36915	6.50669	Cathy Wright
151	single	no	20.40341	52.61818	8.44327	9.10771	3.77616	54.04581	24.55147	348-23-0150	7.60567	1.00000	6.98590	5.27135	12.38070	6.20001	Maria Russell
152	married	no	50.48842	64.53384	7.12742	4.64683	1.53477	45.45170	21.46753	803-93-0432	7.69749	0.00000	6.35565	6.65396	9.83018	6.99198	Joseph Petersen
153	single	no	16.35482	-0.81558	4.20150	7.15349	3.67568	61.33542	55.72571	475-75-6540	8.75062	1.00000	3.64028	6.69590	22.23833	6.63619	William Marquez
154	single	no	43.94105	62.28036	5.62323	3.98569	8.14004	64.76380	50.99140	303-92-3697	4.64165	0.00000	5.93429	5.65337	3.61761	7.13432	Ashley Johnson
155	widowed	Y	37.61730	152.33098	6.68536	2.55366	8.26914	74.81129	73.98145	183-67-3845	6.67700	1.00000	5.10583	4.55183	6.71393	5.72283	Sean Harrell
156	single	no	88.93267	89.03303	6.35904	7.38804	5.93527	91.40177	39.38667	435-91-7131	7.12376	1.00000	4.72964	6.29504	5.80611	6.10356	Jason Wong
157	married	yes	41.21097	73.88483	9.40775	6.43627	10.73307	41.63506	45.94082	173-37-9107	7.88078	1.00000	4.73096	5.60208	13.84352	8.06412	John Johnson
