,relationship,smoker,alp,weight,trombocyty,hematokrit,hemoglobin,er-cv,ast,ssn,erytrocyty,indicator,hbver,leukocyty,alt,etytr,name,residence,blood_group,birthdate,address,race,job,sex
12,single,no,88.26915,23.79038,6.47275,4.85102,6.09641,54.88643,61.84242,019-05-2851,4.49049,0.0,6.68891,5.71732,5.97743,7.52519,Ana Lawrence,"386 Morgan Centers
Jermaineburgh, CO 77658",AB+,1926-08-29,"575 Chris Manors Suite 470
Rebeccahaven, WY 22013",White,Technical sales engineer,F
13,widowed,no,36.01759,47.85835,5.17712,5.37195,4.33853,67.731,45.9435,019-05-2851,8.0383,0.0,7.85531,5.99172,14.29531,3.97022,Ana Lawrence,"386 Morgan Centers
Jermaineburgh, CO 77658",AB+,1926-08-29,"575 Chris Manors Suite 470
Rebeccahaven, WY 22013",White,Technical sales engineer,F
14,nop,yes,68.78724,85.92167,8.61102,7.98429,5.27338,80.81524,18.89804,594-56-3775,6.77629,1.0,6.75211,6.72027,10.06595,8.36895,Tammy Stone,"20555 Singleton Wall Suite 404
Jonesport, KS 71264",AB+,1976-12-23,"Unit 9493 Box 4012
DPO AE 64673",White,Scientific laboratory technician,F
15,single,yes,6.10189,38.32373,8.75174,5.95233,9.08307,61.33557,56.5135,594-56-3775,5.9344,1.0,4.9346,7.2054,6.76582,6.52038,Tammy Stone,"20555 Singleton Wall Suite 404
Jonesport, KS 71264",AB+,1976-12-23,"Unit 9493 Box 4012
DPO AE 64673",White,Scientific laboratory technician,F
16,married,yes,69.17482,145.39881,8.69621,7.26586,5.31488,45.90177,49.54431,594-56-3775,6.62791,1.0,5.3492,4.75075,8.89523,5.72345,Tammy Stone,"20555 Singleton Wall Suite 404
Jonesport, KS 71264",AB+,1976-12-23,"Unit 9493 Box 4012
DPO AE 64673",White,Scientific laboratory technician,F
17,single,no,79.70862,129.95085,7.36704,5.19524,6.69269,40.61051,42.85405,875-70-3061,4.35861,1.0,2.87482,7.99491,3.09837,6.13608,Dustin Ramirez,"417 Caitlin Orchard Apt. 742
South Lisa, NH 31987",AB-,1906-05-25,"Unit 2788 Box 3394
DPO AE 02080",Black,Television camera operator,M
18,divorced,yes,40.48322,125.63879,6.35784,6.22634,4.65169,50.99223,30.93855,875-70-3061,4.16966,0.0,6.76907,5.67895,3.35165,4.32526,Dustin Ramirez,"417 Caitlin Orchard Apt. 742
South Lisa, NH 31987",AB-,1906-05-25,"Unit 2788 Box 3394
DPO AE 02080",Black,Television camera operator,M
19,separated,yes,84.79032,43.19145,6.12766,6.50983,6.71017,35.3009,29.56829,875-70-3061,5.17488,1.0,6.48674,5.08416,3.53999,6.35691,Dustin Ramirez,"417 Caitlin Orchard Apt. 742
South Lisa, NH 31987",AB-,1906-05-25,"Unit 2788 Box 3394
DPO AE 02080",Black,Television camera operator,M
20,widowed,yes,82.91276,103.18834,8.54039,8.01472,6.88183,61.69003,33.1861,875-70-3061,6.43987,1.0,4.13363,6.33863,5.45054,5.75535,Dustin Ramirez,"417 Caitlin Orchard Apt. 742
South Lisa, NH 31987",AB-,1906-05-25,"Unit 2788 Box 3394
DPO AE 02080",Black,Television camera operator,M
21,single,no,10.00315,87.46249,8.97806,8.21504,3.32465,53.54336,63.71657,101-51-4583,7.49375,1.0,7.19329,5.18005,9.7112,6.97153,Wesley Mora,"1174 Anthony Shoal
Martinbury, ME 80766",B-,2001-09-18,"88711 Nicole Rapid Suite 796
Wilsonburgh, WI 18055",White,Fast food restaurant manager,M
22,divorced,yes,85.14899,69.10017,6.7213,6.59068,6.72853,24.65598,45.40737,101-51-4583,6.95371,1.0,6.92477,7.68569,5.90571,7.617,Wesley Mora,"1174 Anthony Shoal
Martinbury, ME 80766",B-,2001-09-18,"88711 Nicole Rapid Suite 796
Wilsonburgh, WI 18055",White,Fast food restaurant manager,M
23,divorced,no,33.37053,73.81156,9.4108,5.60366,4.28567,41.18527,45.7524,101-51-4583,3.25196,0.0,6.47517,5.72904,4.12511,6.543,Wesley Mora,"1174 Anthony Shoal
Martinbury, ME 80766",B-,2001-09-18,"88711 Nicole Rapid Suite 796
Wilsonburgh, WI 18055",White,Fast food restaurant manager,M
24,divorced,no,39.48657,45.2749,8.28186,4.52934,7.98332,55.52401,41.1279,101-51-4583,7.55222,0.0,5.52718,6.18539,13.79305,6.10634,Wesley Mora,"1174 Anthony Shoal
Martinbury, ME 80766",B-,2001-09-18,"88711 Nicole Rapid Suite 796
Wilsonburgh, WI 18055",White,Fast food restaurant manager,M
25,single,yes,70.73527,77.14382,8.03998,4.13044,5.53434,75.96958,41.68286,353-97-0785,4.99299,0.0,5.36293,5.09032,5.82102,4.90617,Darrell Collins,"89850 Trevino Locks
Lake Kristin, TN 83239",A+,1990-07-26,"95220 Adam Tunnel
Port Timothy, HI 95397",Asian,Medical technical officer,M
26,single,yes,16.11698,50.87162,9.97332,7.05603,9.77066,47.3914,48.68869,353-97-0785,8.07652,0.0,5.86374,7.96249,13.28002,6.50692,Darrell Collins,"89850 Trevino Locks
Lake Kristin, TN 83239",A+,1990-07-26,"95220 Adam Tunnel
Port Timothy, HI 95397",Asian,Medical technical officer,M
27,divorced,no,38.35939,88.79564,7.44352,3.48531,8.14655,59.8584,63.84173,353-97-0785,9.62741,0.0,6.21477,6.122418364350703,48.5502,6.14013,Darrell Collins,"89850 Trevino Locks
Lake Kristin, TN 83239",A+,1990-07-26,"95220 Adam Tunnel
Port Timothy, HI 95397",Asian,Medical technical officer,M
28,married,yes,59.64235,78.6987,6.79671,6.35365,5.0404,75.40954,47.04055,759-81-6068,7.41051,1.0,7.19224,5.41765,8.33066,7.91637,Loretta Jones,"USCGC Boyd
FPO AP 44746",AB+,1931-03-30,"46377 Joshua Cape
North Curtis, MS 49131",White,Writer,F
29,single,yes,53.20393,79.89367,8.70275,6.08533,4.91064,73.64868,48.00164,759-81-6068,3.04467,0.0,5.17262,7.06886,2.82956,5.86781,Loretta Jones,"USCGC Boyd
FPO AP 44746",AB+,1931-03-30,"46377 Joshua Cape
North Curtis, MS 49131",White,Writer,F
30,married,no,28.14196,108.56324,5.65286,1.99488,4.19097,52.42671,60.21826,759-81-6068,2.18894,1.0,7.21208,5.28441,7.49905,5.23413,Loretta Jones,"USCGC Boyd
FPO AP 44746",AB+,1931-03-30,"46377 Joshua Cape
North Curtis, MS 49131",White,Writer,F
31,married,no,28.87207,61.87194,7.20342,7.89221,4.26034,55.41616,47.02262,650-15-2936,7.71057,1.0,6.66347,7.68365,10.07334,4.15104,Joel Anderson,"5660 Joshua Lakes Suite 219
New Ginaberg, ID 25326",B-,1924-03-28,"3341 Edwards Run Apt. 606
Blevinston, MT 83661",White,Leisure centre manager,M
32,widowed,yes,16.30226,60.82398,6.31563,8.80281,3.94353,43.13104,54.18426,650-15-2936,8.00335,1.0,7.73442,6.49197,13.16035,4.79878,Joel Anderson,"5660 Joshua Lakes Suite 219
New Ginaberg, ID 25326",B-,1924-03-28,"3341 Edwards Run Apt. 606
Blevinston, MT 83661",White,Leisure centre manager,M
33,single,yes,14.95571,28.70605,7.60771,7.50771,3.72773,32.33167,47.50815,650-15-2936,7.66121,1.0,4.88863,5.58448,11.86639,7.16303,Joel Anderson,"5660 Joshua Lakes Suite 219
New Ginaberg, ID 25326",B-,1924-03-28,"3341 Edwards Run Apt. 606
Blevinston, MT 83661",White,Leisure centre manager,M
34,married,yes,61.58113,139.22602,8.2456,7.78792,7.44705,60.62404,40.99371,549-70-3298,4.39721,1.0,6.16124,6.61593,6.55746,8.09851,Melissa Stevenson,"07864 Bass Lodge
Martinezmouth, FL 23094",O-,1947-08-25,"64206 Misty Trafficway Suite 648
Nicolechester, MT 73519",White,Nature conservation officer,F
35,widowed,no,84.56148,76.28129,6.71746,3.57118,6.31302,52.23584,62.11528,549-70-3298,4.14603,1.0,6.32109,4.84213,7.1724,6.4268,Melissa Stevenson,"07864 Bass Lodge
Martinezmouth, FL 23094",O-,1947-08-25,"64206 Misty Trafficway Suite 648
Nicolechester, MT 73519",White,Nature conservation officer,F
36,separated,no,26.58112,113.79683,6.4702,7.71385,4.14424,30.7869,32.13977,549-70-3298,7.92587,1.0,5.34263,5.42986,11.89919,6.56497,Melissa Stevenson,"07864 Bass Lodge
Martinezmouth, FL 23094",O-,1947-08-25,"64206 Misty Trafficway Suite 648
Nicolechester, MT 73519",White,Nature conservation officer,F
37,nop,no,16.15606,100.64335,7.48445,7.81459,3.85309,54.58269,53.00301,745-11-5236,7.68335,1.0,6.19728,6.58598,11.56644,4.6105,Rachel Henderson,"0988 Ruiz Ridges Apt. 826
Villegasberg, SC 82245",B-,1938-08-16,"268 Desiree Forges
Robertmouth, IL 11688",Black,Advertising account planner,F
38,divorced,no,20.44297,88.05333,7.6318,6.44151,2.20893,48.73625,57.35259,745-11-5236,5.02074,0.0,5.97659,6.55603,5.56977,5.84243,Rachel Henderson,"0988 Ruiz Ridges Apt. 826
Villegasberg, SC 82245",B-,1938-08-16,"268 Desiree Forges
Robertmouth, IL 11688",Black,Advertising account planner,F
39,single,yes,59.19619,77.48743,8.64023,5.23753,11.22478,44.90584,35.56706,745-11-5236,9.10414,1.0,4.68635,6.18979,31.11543,4.69633,Rachel Henderson,"0988 Ruiz Ridges Apt. 826
Villegasberg, SC 82245",B-,1938-08-16,"268 Desiree Forges
Robertmouth, IL 11688",Black,Advertising account planner,F
40,separated,yes,12.18292,18.82065,6.99236,6.76905,3.19309,23.34088,62.02668,215-05-7413,4.32297,0.0,6.03949,6.00869,6.14064,7.08687,Melissa Martin,"806 Young Orchard
Lake Tyrone, AL 18594",O-,1906-10-08,"79722 Goodwin Fork
New Rebeccachester, IA 56819",Black,Air cabin crew,F
41,married,yes,73.82922,93.31924,6.54409,6.66773,5.38405,70.48088,18.29463,215-05-7413,6.1145497405148355,1.0,6.05971,7.73582,4.18508,5.10371,Melissa Martin,"806 Young Orchard
Lake Tyrone, AL 18594",O-,1906-10-08,"79722 Goodwin Fork
New Rebeccachester, IA 56819",Black,Air cabin crew,F
42,single,no,36.29358,56.54787,6.56571,7.62019,4.35067,49.20953,44.52435,215-05-7413,7.8846,1.0,6.82522,9.3998,15.09687,6.08407,Melissa Martin,"806 Young Orchard
Lake Tyrone, AL 18594",O-,1906-10-08,"79722 Goodwin Fork
New Rebeccachester, IA 56819",Black,Air cabin crew,F
43,married,yes,69.13779,28.4482,7.19192,5.3672,7.30008,45.06371,43.70484,317-49-7203,8.16449,0.0,6.64841,7.06635,13.64326,5.07202,Jennifer Li,"42029 Jeffery Cliffs
Lake Travis, CO 72440",A+,1920-06-27,"00658 Buck Curve
Weeksburgh, TX 62571",Black,Air cabin crew,F
44,single,no,86.74155,94.28138,7.83617,7.06156,6.34627,58.32941,59.53543,317-49-7203,6.59584,1.0,8.40375,7.09419,9.37851,7.26449,Jennifer Li,"42029 Jeffery Cliffs
Lake Travis, CO 72440",A+,1920-06-27,"00658 Buck Curve
Weeksburgh, TX 62571",Black,Air cabin crew,F
45,nop,no,72.72366,36.55835,7.84965,7.59626,5.24661,63.32693,47.39186,317-49-7203,6.96013,1.0,7.39735,4.71051,12.65456,4.9335,Jennifer Li,"42029 Jeffery Cliffs
Lake Travis, CO 72440",A+,1920-06-27,"00658 Buck Curve
Weeksburgh, TX 62571",Black,Air cabin crew,F
46,nop,no,62.74191,99.61714,8.0016,5.7357,7.56665,41.74789,54.17108,572-62-4052,6.62723,0.0,8.19534,6.10148,8.21824,5.28425,Maria Hanson,"98874 Mccarthy Extension Suite 457
Amyton, NV 41295",AB+,1963-08-27,"482 Victoria Inlet
New Dawn, VA 45227",Black,Special effects artist,F
47,widowed,no,23.38178,25.92622,7.61189,7.4993,3.88192,36.19533,71.82913,572-62-4052,7.49312,1.0,7.61612,7.00306,8.69331,6.50045,Maria Hanson,"98874 Mccarthy Extension Suite 457
Amyton, NV 41295",AB+,1963-08-27,"482 Victoria Inlet
New Dawn, VA 45227",Black,Special effects artist,F
48,divorced,yes,27.74522,39.8038,7.22538,7.45382,4.29554,32.58251,41.29401,572-62-4052,7.62587,1.0,5.41129,4.88014,11.02985,6.07274,Maria Hanson,"98874 Mccarthy Extension Suite 457
Amyton, NV 41295",AB+,1963-08-27,"482 Victoria Inlet
New Dawn, VA 45227",Black,Special effects artist,F
49,married,no,16.99584,75.73988,8.06973,5.95123,3.66264,48.74539,64.208,572-62-4052,4.22361,0.0,6.79611,5.13188,7.31242,6.21621,Maria Hanson,"98874 Mccarthy Extension Suite 457
Amyton, NV 41295",AB+,1963-08-27,"482 Victoria Inlet
New Dawn, VA 45227",Black,Special effects artist,F
50,divorced,no,78.91853,65.07001,7.55741,7.1339,6.70028,37.66841,20.59507,776-22-9168,3.82441,1.0,5.70264,4.65867,5.90636,6.63852,Shaun Skinner,"16175 Casey Underpass
Pageton, NY 43700",AB+,1973-03-28,"39151 April Station Apt. 194
New Glenborough, OK 69091",White,Passenger transport manager,M
51,single,no,79.05026,33.41507,6.3494,2.36096,5.5358,81.58267,50.91621,776-22-9168,3.37118,1.0,6.07437,5.86563,4.40957,5.99854,Shaun Skinner,"16175 Casey Underpass
Pageton, NY 43700",AB+,1973-03-28,"39151 April Station Apt. 194
New Glenborough, OK 69091",White,Passenger transport manager,M
52,widowed,no,63.11357,72.08995,6.73353,5.35879,7.18467,32.58516,46.56898,776-22-9168,8.67371,0.0,4.98299,7.3088,22.09559,7.24813,Shaun Skinner,"16175 Casey Underpass
Pageton, NY 43700",AB+,1973-03-28,"39151 April Station Apt. 194
New Glenborough, OK 69091",White,Passenger transport manager,M
53,married,yes,14.33088,99.56164,10.03353,6.62647,9.11344,51.80105,52.82642,776-22-9168,6.47936,0.0,7.3325,7.89395,7.42548,5.85456,Shaun Skinner,"16175 Casey Underpass
Pageton, NY 43700",AB+,1973-03-28,"39151 April Station Apt. 194
New Glenborough, OK 69091",White,Passenger transport manager,M
54,nop,no,21.41962,89.18042,5.06879,6.87118,2.62102,43.48171,69.71947,554-16-0774,8.7478,1.0,5.71214,6.44719,21.96993,8.00824,Dr. Kenneth Evans,"666 Anderson Spur
Jamesborough, NJ 51913",B+,1959-06-25,"91967 Steven Mills Suite 447
Lake Emily, MS 31803",Asian,"Surveyor, minerals",M
55,married,no,69.40201,112.4998,7.29079,5.6305,7.09552,62.49428,50.18951,554-16-0774,6.09419,0.0,4.70515,5.47034,3.25956,5.3384,Dr. Kenneth Evans,"666 Anderson Spur
Jamesborough, NJ 51913",B+,1959-06-25,"91967 Steven Mills Suite 447
Lake Emily, MS 31803",Asian,"Surveyor, minerals",M
56,single,no,89.9367,18.33321,6.61529,5.48713,6.44394,64.41313,28.2344,384-06-4472,6.48898,0.0,5.56521,4.95062,8.81489,6.37215,Mr. David Ray,"30647 Ashley Cliff
East Matthew, NM 86931",AB-,1923-03-12,"PSC 6710, Box 9950
APO AE 09058",White,Publishing rights manager,M
57,divorced,no,24.25791,90.53649,6.00209,5.29156,3.89583,53.158401607733666,35.55199,384-06-4472,1.57039,1.0,4.81572,5.87937,4.90316,6.41743,Mr. David Ray,"30647 Ashley Cliff
East Matthew, NM 86931",AB-,1923-03-12,"PSC 6710, Box 9950
APO AE 09058",White,Publishing rights manager,M
58,single,yes,77.32646,24.6381,8.24272,7.66109,5.6322,43.61904,32.2801,384-06-4472,6.79683,1.0,5.97678,6.68178,6.2511,6.00257,Mr. David Ray,"30647 Ashley Cliff
East Matthew, NM 86931",AB-,1923-03-12,"PSC 6710, Box 9950
APO AE 09058",White,Publishing rights manager,M
59,widowed,yes,83.69257,38.64513,6.06401,5.70481,6.69727,48.17156,61.74092,440-70-6960,4.93364,1.0,6.9928,5.79425,6.26821,6.665,Gloria Fleming,"1871 Anthony Estates
Victoriashire, ID 52208",O-,1926-08-12,"Unit 6441 Box 3275
DPO AP 18096",Black,Financial trader,F
60,divorced,no,21.57173,39.71071,7.68019,6.77855,4.05042,42.61334,39.73766,440-70-6960,7.54547,1.0,4.25764,6.44435,11.84771,5.24381,Gloria Fleming,"1871 Anthony Estates
Victoriashire, ID 52208",O-,1926-08-12,"Unit 6441 Box 3275
DPO AP 18096",Black,Financial trader,F
61,divorced,yes,15.43339,51.85487,8.00848,5.21453,3.26433,26.2133,52.70213,440-70-6960,5.34069,0.0,5.23733,6.15393,8.74665,5.92027,Gloria Fleming,"1871 Anthony Estates
Victoriashire, ID 52208",O-,1926-08-12,"Unit 6441 Box 3275
DPO AP 18096",Black,Financial trader,F
62,divorced,no,72.9215,68.87052,9.3448,8.27263,6.937,47.47432,16.3752,440-70-6960,6.01508,1.0,5.28357,6.96647,4.89478,6.57903,Gloria Fleming,"1871 Anthony Estates
Victoriashire, ID 52208",O-,1926-08-12,"Unit 6441 Box 3275
DPO AP 18096",Black,Financial trader,F
63,divorced,yes,50.91423,42.68966,7.48825,4.85604,7.76695,47.21181,52.68507,432-38-8935,5.47598,0.0,7.81012,7.20809,5.90351,5.54637,Lauren Brooks,"06034 Glover Hollow
East Elizabeth, NJ 08539",O-,1920-03-08,"02546 Emily Islands
Jeffreyberg, NC 59009",Black,Conference centre manager,F
64,widowed,yes,61.7491,29.64352,7.65712,6.49552,7.63145,71.18491,42.34906,432-38-8935,7.84282,0.0,5.67781,6.71353,12.35394,5.39884,Lauren Brooks,"06034 Glover Hollow
East Elizabeth, NJ 08539",O-,1920-03-08,"02546 Emily Islands
Jeffreyberg, NC 59009",Black,Conference centre manager,F
65,divorced,yes,14.32666,14.79648,7.11564,3.39,9.09241,57.03491,54.73521,432-38-8935,7.59147,0.0,6.32907,6.3965,10.00226,6.49625,Lauren Brooks,"06034 Glover Hollow
East Elizabeth, NJ 08539",O-,1920-03-08,"02546 Emily Islands
Jeffreyberg, NC 59009",Black,Conference centre manager,F
66,single,no,59.9375,46.74756,7.48384,4.5353,7.38498,60.73468,49.99268,432-38-8935,6.42031,0.0,5.23858,5.40265,7.62509,5.66391,Lauren Brooks,"06034 Glover Hollow
East Elizabeth, NJ 08539",O-,1920-03-08,"02546 Emily Islands
Jeffreyberg, NC 59009",Black,Conference centre manager,F
67,divorced,no,26.93729,26.3315,8.08369,3.00422,10.25417,62.80062,49.38982,567-93-6309,8.08687,1.0,7.20611,6.80594,13.85478,7.73632,Billy Spencer,"611 Tiffany Fort
Jamesfurt, NY 90527",AB-,1960-01-20,"690 Jennifer Plain Suite 889
East Bill, AR 72999",White,Consulting civil engineer,M
68,married,no,38.63056,96.19454,8.2139,4.48584,8.11148,50.43368,49.90966,567-93-6309,7.29707,0.0,7.37838,7.57996,10.24556,8.5404,Billy Spencer,"611 Tiffany Fort
Jamesfurt, NY 90527",AB-,1960-01-20,"690 Jennifer Plain Suite 889
East Bill, AR 72999",White,Consulting civil engineer,M
69,widowed,yes,55.0145,7.78154,8.71374,7.13214,4.77876,65.66344,27.26369,567-93-6309,6.78865,1.0,6.01445,5.52861,8.2295,7.34012,Billy Spencer,"611 Tiffany Fort
Jamesfurt, NY 90527",AB-,1960-01-20,"690 Jennifer Plain Suite 889
East Bill, AR 72999",White,Consulting civil engineer,M
70,single,no,11.16963,42.26667,7.60019,5.00326,2.45825,43.34673,68.16729,567-93-6309,6.27649,0.0,5.08756,5.98678,6.44788,5.01931,Billy Spencer,"611 Tiffany Fort
Jamesfurt, NY 90527",AB-,1960-01-20,"690 Jennifer Plain Suite 889
East Bill, AR 72999",White,Consulting civil engineer,M
71,widowed,no,44.6686,70.70556,8.20659,8.31292,4.66853,64.1794,41.13308,096-85-6165,7.19455,1.0,7.22613,6.38234,9.1701,6.58706,Mrs. Mariah Hammond DDS,"USNV May
FPO AE 72743",B-,1930-07-17,"692 Thompson Island
New John, HI 29531",Asian,Further education lecturer,F
72,married,no,77.2784,84.84701,6.86712,5.25938,7.12803,54.1208,53.31378,096-85-6165,7.98097,0.0,3.87938,5.21703,15.13238,4.30135,Mrs. Mariah Hammond DDS,"USNV May
FPO AE 72743",B-,1930-07-17,"692 Thompson Island
New John, HI 29531",Asian,Further education lecturer,F
73,married,no,75.82539,44.55706,6.34508,7.55485,5.33061,51.23154,58.33948,096-85-6165,7.4555,1.0,6.14377,6.44746,9.33467,8.04373,Mrs. Mariah Hammond DDS,"USNV May
FPO AE 72743",B-,1930-07-17,"692 Thompson Island
New John, HI 29531",Asian,Further education lecturer,F
74,married,yes,75.98281,54.93701,8.00764,7.081,6.57802,61.46279,58.11622,096-85-6165,6.60663,1.0,6.09487,5.24093,4.78944,7.10484,Mrs. Mariah Hammond DDS,"USNV May
FPO AE 72743",B-,1930-07-17,"692 Thompson Island
New John, HI 29531",Asian,Further education lecturer,F
75,single,no,77.4792,110.35319,7.48464,5.70326,6.85747,28.65415,67.83381,633-26-8154,4.32898,1.0,6.74683,5.49865,6.04219,4.75325,Kelsey Gibson,"81999 Cole Shoal Suite 855
New Heather, ND 45288",O+,1959-11-04,"691 Davis Isle Suite 433
Riversfurt, NJ 32575",Asian,"Conservator, furniture",F
76,married,no,21.05371,43.92316,8.02551,6.86858,8.55226,27.6811,68.03357,633-26-8154,8.99191,0.0,6.19251,4.6415,28.77889,6.46932,Kelsey Gibson,"81999 Cole Shoal Suite 855
New Heather, ND 45288",O+,1959-11-04,"691 Davis Isle Suite 433
Riversfurt, NJ 32575",Asian,"Conservator, furniture",F
77,separated,yes,88.69534,35.40902,6.42373,4.70666,6.64296,58.69296,46.9306,633-26-8154,4.89179,1.0,6.82592,6.24985,4.03737,6.54424,Kelsey Gibson,"81999 Cole Shoal Suite 855
New Heather, ND 45288",O+,1959-11-04,"691 Davis Isle Suite 433
Riversfurt, NJ 32575",Asian,"Conservator, furniture",F
78,divorced,yes,48.3175,91.02662,8.00897,7.62653,4.80618,49.20141,22.68373,096-40-3395,7.15299,1.0,7.02904,5.34098,11.29104,3.63588,Julia Nunez,"4891 Morrison Camp Suite 591
West Davidfort, PA 63038",B-,1977-08-03,"62654 Kevin Groves Suite 823
Michaelmouth, TN 70039",White,"Runner, broadcasting/film/video",F
79,married,no,57.86067,107.62007,8.09945,4.52257,5.03408,64.03386,33.88237,096-40-3395,4.92872,0.0,6.01482,5.60741,3.57636,5.16306,Julia Nunez,"4891 Morrison Camp Suite 591
West Davidfort, PA 63038",B-,1977-08-03,"62654 Kevin Groves Suite 823
Michaelmouth, TN 70039",White,"Runner, broadcasting/film/video",F
80,married,yes,29.03225,76.97994,7.71326,5.41315,8.38306,46.7217,46.74367,096-40-3395,6.10088,1.0,6.07812,6.03727,4.38193,4.48067,Julia Nunez,"4891 Morrison Camp Suite 591
West Davidfort, PA 63038",B-,1977-08-03,"62654 Kevin Groves Suite 823
Michaelmouth, TN 70039",White,"Runner, broadcasting/film/video",F
81,nop,yes,10.0534,28.82162,8.58443,9.62734,2.44173,15.37646,29.61637,096-40-3395,8.10102,0.0,7.16735,6.06044,14.85761,7.14957,Julia Nunez,"4891 Morrison Camp Suite 591
West Davidfort, PA 63038",B-,1977-08-03,"62654 Kevin Groves Suite 823
Michaelmouth, TN 70039",White,"Runner, broadcasting/film/video",F
82,married,yes,81.8787,9.7192,5.91518,5.54673,6.35672,44.71166,42.73438,221-25-9334,3.98544,0.0,7.1219,3.47324,6.80856,7.08397,Adriana Walker,"54386 Lauren Green Apt. 378
Mcleanmouth, SD 33724",A-,1953-03-04,"1849 Natalie Plains Suite 591
South Michael, WY 20208",Black,Firefighter,F
83,married,no,50.88338,127.37426,6.47574,3.59349,7.9114,70.38284,24.90158,221-25-9334,6.28318,1.0,6.20902,6.811,5.62219,6.58635,Adriana Walker,"54386 Lauren Green Apt. 378
Mcleanmouth, SD 33724",A-,1953-03-04,"1849 Natalie Plains Suite 591
South Michael, WY 20208",Black,Firefighter,F
